region,model,year,month,forecast_revenue
belarus,Linear Regression,2025,10,35639586.26648973
belarus,Linear Regression,2025,11,37642169.57499634
belarus,Linear Regression,2025,12,42229001.4306141
belarus,Linear Regression,2026,1,51115065.24686554
belarus,Ridge,2025,10,31450134.314397093
belarus,Ridge,2025,11,30993668.67918271
belarus,Ridge,2025,12,32435793.25019597
belarus,Ridge,2026,1,33972546.970223576
belarus,Lasso,2025,10,33467929.26667275
belarus,Lasso,2025,11,34060238.3534373
belarus,Lasso,2025,12,36965956.39088778
belarus,Lasso,2026,1,43470980.7660784
belarus,Random Forest,2025,10,22956170.4
belarus,Random Forest,2025,11,21168041.19
belarus,Random Forest,2025,12,21712611.66
belarus,Random Forest,2026,1,23548670.83
belarus,Prophet,2025,10,61317833.8470036
belarus,Prophet,2025,11,6622223.295829248
belarus,Prophet,2025,12,53161011.095185585
belarus,Prophet,2026,1,31389072.29075616
cis,Linear Regression,2025,10,36602427.64611735
cis,Linear Regression,2025,11,43670636.47505673
cis,Linear Regression,2025,12,54557334.959048234
cis,Linear Regression,2026,1,69076364.65850794
cis,Ridge,2025,10,25115491.125468336
cis,Ridge,2025,11,25211030.94137279
cis,Ridge,2025,12,27657278.9648522
cis,Ridge,2026,1,29858451.278154712
cis,Lasso,2025,10,32481671.85035004
cis,Lasso,2025,11,36873859.81975426
cis,Lasso,2025,12,44570613.87830369
cis,Lasso,2026,1,54571577.93282513
cis,Random Forest,2025,10,22153314.46
cis,Random Forest,2025,11,22472900.09
cis,Random Forest,2025,12,22783938.41
cis,Random Forest,2026,1,23409882.12
cis,Prophet,2025,10,28399852.696824424
cis,Prophet,2025,11,0.0
cis,Prophet,2025,12,45896084.95429794
cis,Prophet,2026,1,19937608.635105874
mena,Linear Regression,2025,10,26918190.383866057
mena,Linear Regression,2025,11,31754100.884143017
mena,Linear Regression,2025,12,39637663.28083078
mena,Linear Regression,2026,1,50514846.995489694
mena,Ridge,2025,10,22527249.94201684
mena,Ridge,2025,11,23862077.405757017
mena,Ridge,2025,12,27718169.140334
mena,Ridge,2026,1,31653302.92516441
mena,Lasso,2025,10,24708361.95397819
mena,Lasso,2025,11,28109209.687520612
mena,Lasso,2025,12,34282107.98665592
mena,Lasso,2026,1,42736400.67187078
mena,Random Forest,2025,10,16997929.38
mena,Random Forest,2025,11,17896188.37
mena,Random Forest,2025,12,19113002.5
mena,Random Forest,2026,1,22814025.9
mena,Prophet,2025,10,38204538.731022984
mena,Prophet,2025,11,4141242.058595631
mena,Prophet,2025,12,51266920.885312036
mena,Prophet,2026,1,27441072.618202142
other,Linear Regression,2025,10,22396567.167807862
other,Linear Regression,2025,11,23020314.921195284
other,Linear Regression,2025,12,27533243.497577183
other,Linear Regression,2026,1,33541362.719825163
other,Ridge,2025,10,21150559.344667114
other,Ridge,2025,11,20608726.630536076
other,Ridge,2025,12,23450419.422584888
other,Ridge,2026,1,25464919.599905267
other,Lasso,2025,10,21140346.34802617
other,Lasso,2025,11,20948305.036337234
other,Lasso,2025,12,24488773.42378728
other,Lasso,2026,1,29119553.77395121
other,Random Forest,2025,10,15991581.84
other,Random Forest,2025,11,16604526.04
other,Random Forest,2025,12,18980671.81
other,Random Forest,2026,1,21557103.18
other,Prophet,2025,10,34775877.98656886
other,Prophet,2025,11,23806507.98385932
other,Prophet,2025,12,32171610.78818485
other,Prophet,2026,1,23164696.475355208
russia,Linear Regression,2025,10,2928501927.9435697
russia,Linear Regression,2025,11,3314296504.8929334
russia,Linear Regression,2025,12,3886037145.9513288
russia,Linear Regression,2026,1,4880765370.197092
russia,Ridge,2025,10,2180259191.397048
russia,Ridge,2025,11,2156086781.802577
russia,Ridge,2025,12,2236793939.8056107
russia,Ridge,2026,1,2455246697.786246
russia,Lasso,2025,10,2668904856.8784666
russia,Lasso,2025,11,2886116847.452079
russia,Lasso,2025,12,3256898972.9314995
russia,Lasso,2026,1,3967000405.7278814
russia,Random Forest,2025,10,1760646389.09
russia,Random Forest,2025,11,1772424185.32
russia,Random Forest,2025,12,1727514265.27
russia,Random Forest,2026,1,1728175241.42
russia,Prophet,2025,10,2031575061.4679365
russia,Prophet,2025,11,3237098193.5795064
russia,Prophet,2025,12,1473502133.7609086
russia,Prophet,2026,1,1824344348.8172574
spain,Linear Regression,2025,10,6776854.318487066
spain,Linear Regression,2025,11,5548001.981651134
spain,Linear Regression,2025,12,5280462.949329461
spain,Linear Regression,2026,1,4997641.666644107
spain,Ridge,2025,10,10309653.001061805
spain,Ridge,2025,11,10719968.755453376
spain,Ridge,2025,12,12376449.253166929
spain,Ridge,2026,1,13995396.825481202
spain,Lasso,2025,10,7431781.4035810195
spain,Lasso,2025,11,6628239.531926896
spain,Lasso,2025,12,6867690.370453503
spain,Lasso,2026,1,7302941.209454011
spain,Random Forest,2025,10,8043943.35
spain,Random Forest,2025,11,8161628.37
spain,Random Forest,2025,12,10946188.31
spain,Random Forest,2026,1,11886871.6
spain,Prophet,2025,10,6065834.403645962
spain,Prophet,2025,11,7152652.810005623
spain,Prophet,2025,12,26286337.316664625
spain,Prophet,2026,1,14026910.426816251
turkey,Linear Regression,2025,10,4509408.190985128
turkey,Linear Regression,2025,11,4037237.015303604
turkey,Linear Regression,2025,12,4982779.817957196
turkey,Linear Regression,2026,1,5433386.753092411
turkey,Ridge,2025,10,4472497.786466308
turkey,Ridge,2025,11,4227185.366048582
turkey,Ridge,2025,12,5202646.147564913
turkey,Ridge,2026,1,5625416.333069276
turkey,Lasso,2025,10,4502110.852779822
turkey,Lasso,2025,11,4025203.511886271
turkey,Lasso,2025,12,4965099.506037511
turkey,Lasso,2026,1,5407707.361254308
turkey,Random Forest,2025,10,4380816.12
turkey,Random Forest,2025,11,4334267.08
turkey,Random Forest,2025,12,4519581.89
turkey,Random Forest,2026,1,4502973.16
turkey,Prophet,2025,10,6614089.4274637615
turkey,Prophet,2025,11,0.0
turkey,Prophet,2025,12,9852804.5441915
turkey,Prophet,2026,1,3007404.89506402
uk,Linear Regression,2025,10,5504279.85029267
uk,Linear Regression,2025,11,5656832.07674185
uk,Linear Regression,2025,12,6173038.426239712
uk,Linear Regression,2026,1,8444538.172256632
uk,Ridge,2025,10,4150339.1949934727
uk,Ridge,2025,11,3982638.0206099926
uk,Ridge,2025,12,4059725.6072675376
uk,Ridge,2026,1,5395286.911583802
uk,Lasso,2025,10,5205931.318565063
uk,Lasso,2025,11,5164737.649060376
uk,Lasso,2025,12,5449990.202752553
uk,Lasso,2026,1,7394378.862992665
uk,Random Forest,2025,10,3108953.04
uk,Random Forest,2025,11,3140260.51
uk,Random Forest,2025,12,3160933.0
uk,Random Forest,2026,1,3324958.98
uk,Prophet,2025,10,1667633.235646121
uk,Prophet,2025,11,786128.0318708419
uk,Prophet,2025,12,7261439.543426138
uk,Prophet,2026,1,3108678.034088922
